id	occurrenceID	measurementType	measurementTypeID	measurementValue	measurementUnit	measurementUnitID
HAEDAT:FR-07:FR-92-016	HAEDAT:FR-07:FR-92-016:causative:37	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,800	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-08:FR-92-017	HAEDAT:FR-08:FR-92-017:causative:11555	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	700,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-08:FR-92-019	HAEDAT:FR-08:FR-92-019:causative:11774	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	10,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-09:FR-92-022	HAEDAT:FR-09:FR-92-022:causative:11775	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	588,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-09:FR-92-023	HAEDAT:FR-09:FR-92-023:causative:11776	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	4,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-13:FR-92-024	HAEDAT:FR-13:FR-92-024:causative:11777	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	130,000,00	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-16:FR-92-025	HAEDAT:FR-16:FR-92-025:causative:46	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	5,200	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-16:FR-92-025	HAEDAT:FR-16:FR-92-025:causative:47	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	7,900	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-16:FR-92-026	HAEDAT:FR-16:FR-92-026:causative:11778	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,845,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:CA-22:CA-97-002	HAEDAT:CA-22:CA-97-002:causative:5181	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,440	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:CA-22:CA-97-003	HAEDAT:CA-22:CA-97-003:causative:5180	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	8,200	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-05:ES-97-001	HAEDAT:ES-05:ES-97-001:causative:52	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,280	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-07:ES-97-001	HAEDAT:ES-07:ES-97-001:causative:52	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,280	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-08:ES-97-001	HAEDAT:ES-08:ES-97-001:causative:52	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,280	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-05:ES-97-001	HAEDAT:ES-05:ES-97-001:causative:53	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,300	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-07:ES-97-001	HAEDAT:ES-07:ES-97-001:causative:53	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,300	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-08:ES-97-001	HAEDAT:ES-08:ES-97-001:causative:53	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,300	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-05:ES-97-001	HAEDAT:ES-05:ES-97-001:causative:54	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	880	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-07:ES-97-001	HAEDAT:ES-07:ES-97-001:causative:54	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	880	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-08:ES-97-001	HAEDAT:ES-08:ES-97-001:causative:54	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	880	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-05:ES-97-001	HAEDAT:ES-05:ES-97-001:causative:55	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	560	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-07:ES-97-001	HAEDAT:ES-07:ES-97-001:causative:55	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	560	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-08:ES-97-001	HAEDAT:ES-08:ES-97-001:causative:55	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	560	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-05:ES-97-002	HAEDAT:ES-05:ES-97-002:causative:56	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	500,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-07:ES-97-002	HAEDAT:ES-07:ES-97-002:causative:56	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	500,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-08:ES-97-002	HAEDAT:ES-08:ES-97-002:causative:56	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	500,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-09:ES-97-003	HAEDAT:ES-09:ES-97-003:causative:57	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	5,900	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-10:ES-97-003	HAEDAT:ES-10:ES-97-003:causative:57	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	5,900	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-09:ES-97-004	HAEDAT:ES-09:ES-97-004:causative:58	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	4,600	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:ES-10:ES-97-004	HAEDAT:ES-10:ES-97-004:causative:58	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	4,600	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:DE-03:DE-97-001	HAEDAT:DE-03:DE-97-001:causative:6099	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	330,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:DE-03:DE-97-006	HAEDAT:DE-03:DE-97-006:causative:6082	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	20,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-91-004	HAEDAT:NL-01:NL-91-004:causative:6160	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	6,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-91-004	HAEDAT:NL-01:NL-91-004:causative:6159	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	20,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-01:NL-91-004	HAEDAT:NL-01:NL-91-004:causative:6158	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	6,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-03:NL-90-007	HAEDAT:NL-03:NL-90-007:causative:6156	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	13,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-03:NL-91-007	HAEDAT:NL-03:NL-91-007:causative:6168	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	10,000 - 1	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-03:NL-91-007	HAEDAT:NL-03:NL-91-007:causative:6167	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-03:NL-91-007	HAEDAT:NL-03:NL-91-007:causative:6166	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-03:NL-91-007	HAEDAT:NL-03:NL-91-007:causative:6165	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	2,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-03:NL-91-007	HAEDAT:NL-03:NL-91-007:causative:6164	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	4,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NL-03:NL-91-007	HAEDAT:NL-03:NL-91-007:causative:6163	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	11,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:CA-22:CA-92-001	HAEDAT:CA-22:CA-92-001:causative:5145	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	20,080	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:CA-24:CA-92-005	HAEDAT:CA-24:CA-92-005:causative:5112	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	30,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:CA-07:CA-92-008	HAEDAT:CA-07:CA-92-008:causative:5164	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	39,074	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:CA-07:CA-92-009	HAEDAT:CA-07:CA-92-009:causative:5166	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	97,585	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:GB-08:GB-96-011	HAEDAT:GB-08:GB-96-011:causative:8752	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	70,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:GB-10:GB-96-011	HAEDAT:GB-10:GB-96-011:causative:8752	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	70,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-01:FR-92-001	HAEDAT:FR-01:FR-92-001:causative:11760	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	38,760,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-04:FR-92-004	HAEDAT:FR-04:FR-92-004:causative:11763	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	2,600,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-04:FR-92-004	HAEDAT:FR-04:FR-92-004:causative:11762	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	288,000,00	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-05:FR-92-005	HAEDAT:FR-05:FR-92-005:causative:11765	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,210,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-05:FR-92-005	HAEDAT:FR-05:FR-92-005:causative:11764	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,520,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-05:FR-92-006	HAEDAT:FR-05:FR-92-006:causative:11766	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	24,680,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-05:FR-92-007	HAEDAT:FR-05:FR-92-007:causative:11767	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	10,200,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-06:FR-92-008	HAEDAT:FR-06:FR-92-008:causative:128	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	600	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-06:FR-92-009	HAEDAT:FR-06:FR-92-009:causative:11768	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:FR-07:FR-92-011	HAEDAT:FR-07:FR-92-011:causative:11769	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,120,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NO-09:NO-92-002	HAEDAT:NO-09:NO-92-002:causative:11597	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	10,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NO-10:NO-92-002	HAEDAT:NO-10:NO-92-002:causative:11597	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	10,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NO-11:NO-92-002	HAEDAT:NO-11:NO-92-002:causative:11597	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	10,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NO-03:NO-92-003	HAEDAT:NO-03:NO-92-003:causative:11598	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NO-04:NO-92-003	HAEDAT:NO-04:NO-92-003:causative:11598	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NO-05:NO-92-003	HAEDAT:NO-05:NO-92-003:causative:11598	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NO-09:NO-91-001	HAEDAT:NO-09:NO-91-001:causative:11595	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	20,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NO-10:NO-91-001	HAEDAT:NO-10:NO-91-001:causative:11595	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	20,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NO-11:NO-91-001	HAEDAT:NO-11:NO-91-001:causative:11595	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	20,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NO-09:NO-91-003	HAEDAT:NO-09:NO-91-003:causative:8438	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	100,000,00	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:NO-04:NO-91-004	HAEDAT:NO-04:NO-91-004:causative:8439	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	2,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:SE-06:SE-92-001	HAEDAT:SE-06:SE-92-001:causative:12293	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	9,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:SE-07:SE-92-001	HAEDAT:SE-07:SE-92-001:causative:12293	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	9,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:SE-08:SE-92-001	HAEDAT:SE-08:SE-92-001:causative:12293	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	9,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:SE-03:SE-92-002	HAEDAT:SE-03:SE-92-002:causative:9504	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	800,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:GB-01:GB-00-014	HAEDAT:GB-01:GB-00-014:causative:8711	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1980	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:GB-02:GB-00-014	HAEDAT:GB-02:GB-00-014:causative:8711	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1980	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:GB-20:GB-00-014	HAEDAT:GB-20:GB-00-014:causative:8711	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1980	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:GB-22:GB-00-014	HAEDAT:GB-22:GB-00-014:causative:8711	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1980	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:GB-23:GB-00-014	HAEDAT:GB-23:GB-00-014:causative:8711	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1980	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:GB-15:GB-92-003	HAEDAT:GB-15:GB-92-003:causative:12960	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:GB-20:GB-92-004	HAEDAT:GB-20:GB-92-004:causative:12961	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	2,140	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:RU-11:RU-00-001	HAEDAT:RU-11:RU-00-001:causative:153	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	1750000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:US-09:US-93-018	HAEDAT:US-09:US-93-018:causative:155	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	100,000,00	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:US-10:US-92-006	HAEDAT:US-10:US-92-006:causative:156	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	100,000 -	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:US-10:US-92-007	HAEDAT:US-10:US-92-007:causative:157	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	10,000 - 1	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:US-10:US-92-008	HAEDAT:US-10:US-92-008:causative:158	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	100,000 -	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:US-11:US-92-008	HAEDAT:US-11:US-92-008:causative:158	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	100,000 -	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:US-10:US-92-009	HAEDAT:US-10:US-92-009:causative:159	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	100,000 -	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:US-10:US-92-010	HAEDAT:US-10:US-92-010:causative:160	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	100,000 -	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:US-08:US-92-011	HAEDAT:US-08:US-92-011:causative:161	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	>1,000,000	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
HAEDAT:AR-36:AR-07-001	HAEDAT:AR-36:AR-07-001:causative:11390	abundance	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/	31600	cells per litre	http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
