id	institutionCode	collectionCode	datasetName	basisOfRecord	occurrenceID	occurrenceRemarks	organismQuantity	organismQuantityType	occurrenceStatus	eventID	scientificNameID	scientificName
HAEDAT:CA-24:CA-90-003	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-24:CA-90-003:causative:5066	in late November (Brudenell River)	780,000	cells per litre	present	HAEDAT:CA-24:CA-90-003		Nitzschia pungens
HAEDAT:CA-24:CA-90-004	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-24:CA-90-004:causative:5063		10,000	cells per litre	present	HAEDAT:CA-24:CA-90-004		Dinophysis acuminata
HAEDAT:CA-24:CA-90-009	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-24:CA-90-009:causative:9343	In early November (Brudewell River).	700,000	cells per litre	present	HAEDAT:CA-24:CA-90-009		Nitzschia pungens
HAEDAT:CA-22:CA-91-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-91-001:causative:5141	mid-June.	78,340	cells per litre	present	HAEDAT:CA-22:CA-91-001		Nitzschia pseudodelicatissima
HAEDAT:CA-17:CA-91-003	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-17:CA-91-003:causative:5092				present	HAEDAT:CA-17:CA-91-003		Dinophysis norvegica
HAEDAT:CA-17:CA-91-004	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-17:CA-91-004:causative:5089	during the bloom period.	10,000 - 4	cells per litre	present	HAEDAT:CA-17:CA-91-004		Dinophysis norvegica
HAEDAT:CA-13:CA-91-005	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-13:CA-91-005:causative:5088	< abundance.			present	HAEDAT:CA-13:CA-91-005		Dinophysis acuta
HAEDAT:CA-13:CA-91-005	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-13:CA-91-005:causative:5087				present	HAEDAT:CA-13:CA-91-005		Dinophysis acuminata
HAEDAT:CA-13:CA-91-005	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-13:CA-91-005:causative:5086	> abundance.			present	HAEDAT:CA-13:CA-91-005		Dinophysis norvegica
HAEDAT:CA-25:CA-91-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-25:CA-91-006:causative:5085	Depending on  the station in Lennox Channel, on October 31.	15,400 - 3	cells per litre	present	HAEDAT:CA-25:CA-91-006		Nitzschia pungens f. multiseries
HAEDAT:CA-24:CA-91-007	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-24:CA-91-007:causative:5084	near the peak of the bloom.	800,000	cells per litre	present	HAEDAT:CA-24:CA-91-007		Nitzschia pungens f. multiseries
HAEDAT:CA-09:CA-91-008	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-09:CA-91-008:causative:5081				present	HAEDAT:CA-09:CA-91-008		Dinophysis acuminata
HAEDAT:CA-09:CA-91-008	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-09:CA-91-008:causative:5080	June 25.	3,632	cells per litre	present	HAEDAT:CA-09:CA-91-008		Dinophysis spp.
HAEDAT:CA-09:CA-91-008	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-09:CA-91-008:causative:5082				present	HAEDAT:CA-09:CA-91-008		Dinophysis norvegica
HAEDAT:CA-09:CA-91-008	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-09:CA-91-008:causative:5083				present	HAEDAT:CA-09:CA-91-008		Dinophysis rotundata
HAEDAT:CA-08:CA-91-009	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-08:CA-91-009:causative:5079	Maximum concentration  recorded July 21	28,278	cells per litre	present	HAEDAT:CA-08:CA-91-009		Alexandrium excavatum
HAEDAT:CA-36:CA-91-010	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-36:CA-91-010:causative:5078	Sept. 20 counts from Tofino area.	2,900,000	cells per litre	present	HAEDAT:CA-36:CA-91-010		Heterosigma akashiwo
HAEDAT:CA-36:CA-91-010	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-36:CA-91-010:causative:5077	Sept. 5 counts from Tofino area.	800,000	cells per litre	present	HAEDAT:CA-36:CA-91-010		Heterosigma akashiwo
HAEDAT:CA-38:CA-91-011	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-38:CA-91-011:causative:5076				present	HAEDAT:CA-38:CA-91-011		Heterosigma akashiwo
HAEDAT:CA-38:CA-91-013	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-38:CA-91-013:causative:5070	C.convolutus and/or C.concavicornis with cell concentrations of 200 cells/L.	200	cells per litre	present	HAEDAT:CA-38:CA-91-013		Chaetoceros convolutus
HAEDAT:CA-38:CA-91-013	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-38:CA-91-013:causative:5071				present	HAEDAT:CA-38:CA-91-013		Chaetoceros concavicornis
HAEDAT:CA-38:CA-91-014	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-38:CA-91-014:causative:8235	or C. concavicornis, in Teakerne Arm	70,000 - 8	cells per litre	present	HAEDAT:CA-38:CA-91-014		Chaetoceros convolutus
HAEDAT:CA-38:CA-91-014	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-38:CA-91-014:causative:8234	or C. concavicornis, east Queen Charlotte Strait	18,000 - 3	cells per litre	present	HAEDAT:CA-38:CA-91-014		Chaetoceros convolutus
HAEDAT:CA-38:CA-91-014	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-38:CA-91-014:causative:8236	or C. concavicornis, late October, Homfray Channel	200,000	cells per litre	present	HAEDAT:CA-38:CA-91-014		Chaetoceros convolutus
HAEDAT:CA-22:CA-92-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-92-001:causative:5145	July 21 at Deadmans Harbour.	20,080	cells per litre	present	HAEDAT:CA-22:CA-92-001		Alexandrium fundyense
HAEDAT:CA-22:CA-92-002	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-92-002:causative:5144	On May 19 at Deadmans Harbour.	10,400	cells per litre	present	HAEDAT:CA-22:CA-92-002		Pseudo-nitzschia pseudodelicatissima
HAEDAT:CA-22:CA-92-003	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-92-003:causative:8718	September 14 at Beaver Harbour.	7,000	cells per litre	present	HAEDAT:CA-22:CA-92-003		Dinophysis acuminata
HAEDAT:CA-07:CA-92-008	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-92-008:causative:5164	June 21.	39,074	cells per litre	present	HAEDAT:CA-07:CA-92-008		Alexandrium excavatum
HAEDAT:CA-07:CA-92-009	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-92-009:causative:5166	July 16th maximum concentration	97,585	cells per litre	present	HAEDAT:CA-07:CA-92-009		Dinophysis norvegica
HAEDAT:CA-07:CA-92-009	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-92-009:causative:5165	August 16th, maximum concentration	76,281	cells per litre	present	HAEDAT:CA-07:CA-92-009		Dinophysis acuminata
HAEDAT:CA-35:CA-92-011	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-35:CA-92-011:causative:5102				present	HAEDAT:CA-35:CA-92-011		Heterosigma akashiwo
HAEDAT:CA-38:CA-92-012	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-38:CA-92-012:causative:5101	Probably			present	HAEDAT:CA-38:CA-92-012		Alexandrium catenella
HAEDAT:CA-37:CA-92-015	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-37:CA-92-015:causative:8725				present	HAEDAT:CA-37:CA-92-015		Noctiluca scintillans
HAEDAT:CA-39:CA-92-016	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-39:CA-92-016:causative:8726				present	HAEDAT:CA-39:CA-92-016		Noctiluca scintillans
HAEDAT:CA-37:CA-92-017	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-37:CA-92-017:causative:8724				present	HAEDAT:CA-37:CA-92-017		Noctiluca scintillans
HAEDAT:CA-40:CA-92-018	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-40:CA-92-018:causative:5094				present	HAEDAT:CA-40:CA-92-018		Noctiluca scintillans
HAEDAT:CA-35:CA-92-019	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-35:CA-92-019:causative:8722				present	HAEDAT:CA-35:CA-92-019		Noctiluca scintillans
HAEDAT:CA-22:CA-94-003	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-94-003:causative:9342	Highest concentration, June 21 in  Lime Kiln Bay	248,064	cells per litre	present	HAEDAT:CA-22:CA-94-003		Pseudo-nitzschia pseudodelicatissima
HAEDAT:CA-22:CA-94-004	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-94-004:causative:8717	Highest concentration, July 26 near Wolves islands	640	cells per litre	present	HAEDAT:CA-22:CA-94-004		Dinophysis acuminata
HAEDAT:CA-24:CA-94-005	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-24:CA-94-005:causative:5115		314,000	cells per litre	present	HAEDAT:CA-24:CA-94-005		Pseudo-nitzschia pungens
HAEDAT:CA-22:CA-94-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-94-006:causative:5146	June 28 at Deadmans Harbour	53,856	cells per litre	present	HAEDAT:CA-22:CA-94-006		Alexandrium fundyense
HAEDAT:CA-27:CA-94-007	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-27:CA-94-007:causative:9364	Implicated.			present	HAEDAT:CA-27:CA-94-007		Alexandrium fundyense
HAEDAT:CA-27:CA-94-007	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-27:CA-94-007:causative:9365				present	HAEDAT:CA-27:CA-94-007		Prorocentrum sp.
HAEDAT:CA-22:CA-95-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-95-001:causative:5150	August 28, highest concentration at the Wolves isl	1,374,144	cells per litre	present	HAEDAT:CA-22:CA-95-001		Pseudo-nitzschia pseudodelicatissima
HAEDAT:CA-07:CA-95-002	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-95-002:causative:9341	New London Bay, October 18.	438,000	cells per litre	present	HAEDAT:CA-07:CA-95-002		Pseudo-nitzschia multiseries
HAEDAT:CA-22:CA-95-003	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-95-003:causative:6853	July 17 at Deadman Habour, highest concentration	28,600	cells per litre	present	HAEDAT:CA-22:CA-95-003		Alexandrium fundyense
HAEDAT:CA-07:CA-95-004	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-95-004:causative:5161	in New Brunswick	5,600	cells per litre	present	HAEDAT:CA-07:CA-95-004		Alexandrium tamarense
HAEDAT:CA-07:CA-95-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-95-006:causative:5196	August 30 in Havre-aux-Maisons station	2,600	cells per litre	present	HAEDAT:CA-07:CA-95-006		Prorocentrum lima
HAEDAT:CA-07:CA-95-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-95-006:causative:5197	August 27 in Tête à la Baleine station.	5,280	cells per litre	present	HAEDAT:CA-07:CA-95-006		Prorocentrum minimum
HAEDAT:CA-07:CA-95-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-95-006:causative:5195	June 25 in Carleton station	3,660	cells per litre	present	HAEDAT:CA-07:CA-95-006		Dinophysis norvegica
HAEDAT:CA-07:CA-95-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-95-006:causative:5193	June 12 in Penouille station	2,680	cells per litre	present	HAEDAT:CA-07:CA-95-006		Alexandrium tamarense
HAEDAT:CA-07:CA-95-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-95-006:causative:5194	August 2 in Mont-Louis station	1,720	cells per litre	present	HAEDAT:CA-07:CA-95-006		Dinophysis acuminata
HAEDAT:CA-07:CA-95-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-95-006:causative:5192	June 12 in Penouille station	1,620	cells per litre	present	HAEDAT:CA-07:CA-95-006		Alexandrium ostenfeldii
HAEDAT:CA-07:CA-95-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-95-006:causative:5191	August 20 in Tête à la Baleine station	91,306	cells per litre	present	HAEDAT:CA-07:CA-95-006		Pseudo-nitzschia delicatissima
HAEDAT:CA-07:CA-95-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-95-006:causative:5198	August 15 in Ste-Flavie	120,608	cells per litre	present	HAEDAT:CA-07:CA-95-006		Pseudo-nitzschia seriata
HAEDAT:CA-07:CA-96-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-96-001:causative:5160	Highest concentration	142,976	cells per litre	present	HAEDAT:CA-07:CA-96-001		Alexandrium tamarense
HAEDAT:CA-04:CA-96-002	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-04:CA-96-002:causative:5159	Highest concentration	380	cells per litre	present	HAEDAT:CA-04:CA-96-002		Alexandrium ostenfeldii
HAEDAT:CA-08:CA-96-003	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-08:CA-96-003:causative:5158	Highest concentration	2,480	cells per litre	present	HAEDAT:CA-08:CA-96-003		Dinophysis acuminata
HAEDAT:CA-09:CA-96-004	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-09:CA-96-004:causative:5157	Highest concentration	2,480	cells per litre	present	HAEDAT:CA-09:CA-96-004		Dinophysis norvegica
HAEDAT:CA-23:CA-96-005	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-23:CA-96-005:causative:5156	Highest concentration.	120	cells per litre	present	HAEDAT:CA-23:CA-96-005		Prorocentrum lima
HAEDAT:CA-04:CA-96-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-04:CA-96-006:causative:8294	Highest concentration.	5,440	cells per litre	present	HAEDAT:CA-04:CA-96-006		Prorocentrum minimum
HAEDAT:CA-05:CA-96-007	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-05:CA-96-007:causative:5154	Highest concentration.	917,833	cells per litre	present	HAEDAT:CA-05:CA-96-007		Pseudo-nitzschia delicatissima
HAEDAT:CA-22:CA-97-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-97-001:causative:5182	August 20 at an offshore sampling location at the Wolves.	151,776	cells per litre	present	HAEDAT:CA-22:CA-97-001		Pseudo-nitzschia pseudodelicatissima
HAEDAT:CA-22:CA-97-002	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-97-002:causative:5181	August 26 at the Wolves Islands.	1,440	cells per litre	present	HAEDAT:CA-22:CA-97-002		Pseudo-nitzschia pseudodelicatissima
HAEDAT:CA-22:CA-97-003	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-97-003:causative:5180	June 24  in Deadmans Habour	8,200	cells per litre	present	HAEDAT:CA-22:CA-97-003		Alexandrium fundyense
HAEDAT:CA-04:CA-97-004	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-04:CA-97-004:causative:5179	Highest concentration, 19/07/97.	8,480	cells per litre	present	HAEDAT:CA-04:CA-97-004		Alexandrium tamarense
HAEDAT:CA-09:CA-97-005	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-09:CA-97-005:causative:5178	Highest concentration, 2/07/97.	180	cells per litre	present	HAEDAT:CA-09:CA-97-005		Alexandrium ostenfeldii
HAEDAT:US-08:US-97-007	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:US-08:US-97-007:causative:1414	Moderate levels			present	HAEDAT:US-08:US-97-007		Aureococcus anophagefferens
HAEDAT:US-09:US-97-007	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:US-09:US-97-007:causative:1414	Moderate levels			present	HAEDAT:US-09:US-97-007		Aureococcus anophagefferens
HAEDAT:CA-09:CA-97-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-09:CA-97-006:causative:5177	Highest concentration	1,480	cells per litre	present	HAEDAT:CA-09:CA-97-006		Dinophysis acuminata
HAEDAT:CA-09:CA-97-007	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-09:CA-97-007:causative:5176	Highest concentration, 15/09/97.	1,560	cells per litre	present	HAEDAT:CA-09:CA-97-007		Dinophysis norvegica
HAEDAT:CA-01:CA-97-008	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-01:CA-97-008:causative:5175	Highest concentration, 15/06/97.	40	cells per litre	present	HAEDAT:CA-01:CA-97-008		Prorocentrum lima
HAEDAT:CA-09:CA-97-009	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-09:CA-97-009:causative:5174	Highest concentration	2,320	cells per litre	present	HAEDAT:CA-09:CA-97-009		Prorocentrum minimum
HAEDAT:CA-05:CA-97-010	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-05:CA-97-010:causative:5173	Highest concentration.	549,330	cells per litre	present	HAEDAT:CA-05:CA-97-010		Pseudo-nitzschia delicatissima
HAEDAT:CA-04:CA-97-011	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-04:CA-97-011:causative:5172	Highest concentration.	43,780	cells per litre	present	HAEDAT:CA-04:CA-97-011		Pseudo-nitzschia seriata
HAEDAT:CA-07:CA-98-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-07:CA-98-001:causative:5201		2,000,000	cells per litre	present	HAEDAT:CA-07:CA-98-001		Alexandrium tamarense
HAEDAT:CA-23:CA-98-003	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-23:CA-98-003:causative:9338				present	HAEDAT:CA-23:CA-98-003		Pseudo-nitzschia delicatissima
HAEDAT:CA-22:CA-98-005	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-98-005:causative:5186	Ciliate. September 9,1998; 95% of total phytoplankton	1 553 000	cells per litre	present	HAEDAT:CA-22:CA-98-005		Mesodinium rubrum
HAEDAT:CA-22:CA-98-006	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-98-006:causative:5185	June 23 at an inshore sampling. Deadmans Harbour.	6,720	cells per litre	present	HAEDAT:CA-22:CA-98-006		Alexandrium fundyense
HAEDAT:CA-22:CA-98-007	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-98-007:causative:5183	August 4 at offshore sampling location Wolves.	83,500	cells per litre	present	HAEDAT:CA-22:CA-98-007		Pseudo-nitzschia pseudodelicatissima
HAEDAT:CA-22:CA-98-007	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:CA-22:CA-98-007:causative:5184				present	HAEDAT:CA-22:CA-98-007		Pseudo-nitzschia delicatissima
HAEDAT:DK-07:DK-87-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-07:DK-87-001:causative:8429				present	HAEDAT:DK-07:DK-87-001		Gonyaulax tamarensis
HAEDAT:DK-07:DK-87-002	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-07:DK-87-002:causative:11161				present	HAEDAT:DK-07:DK-87-002		Dinophysis norvegica
HAEDAT:DK-07:DK-87-002	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-07:DK-87-002:causative:11160				present	HAEDAT:DK-07:DK-87-002		Dinophysis acuminata
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11173	Low concentration.			present	HAEDAT:DK-04:DK-94-001		Pseudo-nitzschia delicatissima
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11172	Gyrodinium cf. Aureolum. Low concentration			present	HAEDAT:DK-04:DK-94-001		Gyrodinium sp.
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11171	Low concentration			present	HAEDAT:DK-04:DK-94-001		Dinophysis rotundata
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11170	Low concentration			present	HAEDAT:DK-04:DK-94-001		Dinophysis acuta
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11169	Low concentration			present	HAEDAT:DK-04:DK-94-001		Dinophysis norvegica
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11168	Low concentration			present	HAEDAT:DK-04:DK-94-001		Alexandrium tamarense
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11167	Low concentration			present	HAEDAT:DK-04:DK-94-001		Alexandrium ostenfeldii
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11166	High concentration.			present	HAEDAT:DK-04:DK-94-001		Noctiluca scintillans
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11165	High concentration			present	HAEDAT:DK-04:DK-94-001		Gymnodinium sanguineum
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11164	High concentration.			present	HAEDAT:DK-04:DK-94-001		Prorocentrum micans
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11163	High concentration.			present	HAEDAT:DK-04:DK-94-001		Prorocentrum minimum
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11162	High concentration			present	HAEDAT:DK-04:DK-94-001		Dinophysis acuminata
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11174	Low concentration.			present	HAEDAT:DK-04:DK-94-001		Pseudo-nitzschia seriata
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11175	Low concentration			present	HAEDAT:DK-04:DK-94-001		Chrysochromulina spp.
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11176	Low concentration			present	HAEDAT:DK-04:DK-94-001		Phaeocystis pouchetii
HAEDAT:DK-04:DK-94-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-94-001:causative:11177	Low concentration			present	HAEDAT:DK-04:DK-94-001		Nodularia spumigena
HAEDAT:DK-04:DK-95-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-95-001:causative:11192	low concentration			present	HAEDAT:DK-04:DK-95-001		Chrysochromulina spp.
HAEDAT:DK-04:DK-95-001	IOC-UNESCO	HAEDAT	HAEDAT	HumanObservation	HAEDAT:DK-04:DK-95-001:causative:11191	low concentration			present	HAEDAT:DK-04:DK-95-001		Phaeocystis pouchetii
